Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Blue Jackets,F,F,F,D,D,G/Extra Attacker,Opp,F,F,F,D,D,G/Extra Attacker
2,3:36,5v5,NYR,20,w,13,20,,ol,dc,,y,,,,,,,0,72,20013,10/9/2015,CBJ,NYR,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
2,3:26,5v5,CBJ,38,w,27,,,dl,,,,y,,,,,,0,30,20013,10/9/2015,CBJ,NYR,,,,17,38,18,7,51,72,,20,21,13,5,27,30
2,2:57,5v5,CBJ,19,w,13,19,,or,oc,,y,y,,,,,,0,30,20013,10/9/2015,CBJ,NYR,,,,19,13,43,7,51,72,,21,13,61,5,27,30
2,2:39,5v5,CBJ,13,t,19,43,19,orrc,ol,nc,y,,,,,,,0,30,20013,10/9/2015,CBJ,NYR,,,,19,13,43,4,7,72,,16,36,61,18,22,30
2,2:19,5v5,CBJ,20,a,47,,,or,,,y,y,,,,,,0,30,20013,10/9/2015,CBJ,NYR,,,,17,20,71,4,47,72,,26,28,19,18,22,30
3,19:55,4v5,NYR,27,w,28,,,nf,,,,y,,,,,,0,72,20013,10/9/2015,CBJ,NYR,,,,19,20,43,71,27,72,,28,19,5,27,30,0
3,18:58,5v5,CBJ,7,o,27,17,27,ol,opl,nc,,y,,,,,,0,30,20013,10/9/2015,CBJ,NYR,,,,17,19,18,7,27,72,,24,26,36,8,18,30
3,18:50,5v5,NYR,26,s,24,36,,dl,dl,,,y,,,,,,0,72,20013,10/9/2015,CBJ,NYR,,,,17,38,18,7,27,72,,24,26,36,8,93,30
3,17:18,5v5,NYR,20,b,13,,,dsr,,,y,y,,,,,,0,72,20013,10/9/2015,CBJ,NYR,,,,9,13,11,4,47,72,,20,24,13,5,27,30
3,14:50,5v5,CBJ,4,o,11,38,,oc,nc,,,y,,,,,,0,30,20013,10/9/2015,CBJ,NYR,,,,11,20,71,4,47,72,,10,24,36,18,22,30
3,14:34,5v5,CBJ,71,t,47,,,oc,,,y,y,,,,,,0,30,20013,10/9/2015,CBJ,NYR,,,,11,20,71,4,47,72,,10,24,25,5,27,30
3,13:33,5v5,CBJ,58,w,18,27,,nc,nc,,,,,,,,,0,30,20013,10/9/2015,CBJ,NYR,,,,17,38,18,27,58,72,,20,21,13,22,93,30
3,13:20,5v5,NYR,13,o,21,13,20,oelc,oc,oc,y,y,,,,,,0,72,20013,10/9/2015,CBJ,NYR,,,,17,38,18,27,58,72,,20,21,13,8,93,30
3,12:08,5v5,CBJ,20,w,71,,,nl,,,,y,,,,,,0,30,20013,10/9/2015,CBJ,NYR,,,,19,20,71,7,51,72,,24,25,61,18,22,30
3,9:27,5v5,CBJ,51,o,20,,,ofp,,,,,,,,,,0,30,20013,10/9/2015,CBJ,NYR,,,,19,20,71,7,51,72,,20,21,13,18,22,30
3,8:43,5v5,CBJ,19,w,20,,,nc,,,y,,,,,,,0,30,20013,10/9/2015,CBJ,NYR,,,,19,20,71,4,47,72,,16,36,61,5,27,30
