Name,Pos,PosSimple,Gm,G,A1,A2,P,iHSC,iSC,iCF,C+ -,F+ -,G+ -,CF,FF,ZSO,ZSD,AB,FO_W,FO_L,HIT,HIT-,PN,PN-,TOI,Salary,Age,CF60,CA60,CP60,FF60,FA60,FP60,SF60,SA60,BK,MS,SH,SF,GF,SA,GA,FA,CA,SCF,SCA,ShotAttempts,Goals,Assists,ScoringChances,ShotsOnGoal,OddmanRushes,DirectGoals,ReboundsGeneratedFromAttempts,AttemptsWith0Assists,AttemptsWith1Assists,AttemptsWith2Assists,AttemptsWith3Assists,DirectGoalsWith0Assists,DirectGoalsWith1Assists,DirectGoalsWith2Assists,DirectGoalsWith3Assists,ReboundAttempts,ReboundsOnGoal,ReboundGoalsScored,A1OnAttempts,A1OnScoringChances,A1OnShotsOnGoal,A1OnOddmanRushes,A1OnDirectGoals,A2OnAttempts,A2OnScoringChances,A2OnShotsOnGoal,A2OnOddmanRushes,A2OnDirectGoals,A3OnAttempts,A3OnScoringChances,A3OnShotsOnGoal,A3OnOddmanRushes,A3OnDirectGoals
Damon Severson,D,D,47,1,4,5,10,4,31,105,-56,-36,2,536,417,195,136,25,0,0,42,28,6,6,710.8,0.575,21,45.2447946,49.97186269,95.21665729,35.1997749,38.23860439,73.43837929,24.90151941,28.86888014,30,25,49,295,24,342,22,453,592,267,277,105,1,5,10,39,1,1,5,0,47,33,25,0,1,0,0,1,1,0,61,9,25,2,3,32,9,17,2,2,14,5,6,0,1
Dan Boyle,D,D,10,2,0,2,4,1,6,12,-7,-14,5,127,91,55,20,9,0,0,8,16,3,2,152.8,4.5,39,49.86910995,52.61780105,102.486911,35.73298429,41.23036649,76.96335079,21.9895288,29.84293194,4,3,3,56,9,76,4,105,134,57,70,14,2,0,6,5,0,2,0,0,8,4,2,0,0,2,0,0,0,0,11,2,3,0,0,5,1,2,0,0,0,0,0,0,0
Dan Girardi,D,D,15,0,1,2,3,0,5,24,-43,-28,6,195,155,63,95,18,0,0,26,35,2,1,250.6,7,31,46.68794892,56.98324022,103.6711891,37.11093376,43.81484437,80.92577813,30.16759777,30.8858739,6,4,14,126,14,129,8,183,238,94,115,15,0,2,2,7,0,0,0,0,5,5,5,0,0,0,0,0,0,0,24,10,9,1,1,17,8,11,2,1,4,4,3,0,0
Dan Hamhuis,D,D,12,0,1,1,2,2,5,24,-17,-14,2,141,114,70,59,8,0,0,5,8,0,3,187.3,4.25,32,45.16817939,50.61398825,95.78216765,36.51895355,41.00373732,77.52269087,26.26801922,32.35451148,4,6,14,82,8,101,6,128,158,69,90,21,0,1,3,10,1,0,1,0,7,8,6,0,0,0,0,1,1,0,23,13,15,0,1,11,4,7,1,0,6,3,3,0,0
Daniel Carr,L,F,3,0,0,0,0,3,4,6,2,3,-1,35,25,11,7,1,0,0,2,4,0,0,33.9,0.892,23,61.94690265,58.40707965,120.3539823,44.24778761,38.9380531,83.18584071,33.62831858,24.77876106,1,1,4,19,1,14,2,22,33,12,17,3,0,0,1,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,5,2,4,0,0,2,1,1,0,0,4,3,2,0,0
Daniel Catenacci,CL,F,1,0,0,0,0,0,1,2,2,2,0,8,7,5,1,0,0,0,3,1,0,0,9,0.575,22,53.33333333,40,93.33333333,46.66666667,33.33333333,80,33.33333333,13.33333333,0,0,2,5,0,2,0,5,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Paille,L,F,3,0,0,0,0,0,2,5,-17,-17,-1,13,8,5,9,1,0,0,4,3,0,2,29.2,0,31,26.71232877,61.64383562,88.35616438,16.43835616,51.36986301,67.80821918,10.2739726,43.15068493,2,1,2,5,0,21,1,25,30,5,14,3,0,0,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Sedin,L,F,16,5,7,2,14,21,33,56,9,19,13,196,159,76,61,4,0,0,5,4,4,2,219.7,7,34,53.52753755,51.06964042,104.597178,43.42284934,38.23395539,81.65680473,32.77196177,27.8561675,4,15,32,120,18,102,5,140,187,107,112,55,5,9,27,34,3,5,2,0,15,20,20,0,1,2,2,3,1,0,39,19,21,2,5,50,22,33,1,4,8,4,4,0,1
Daniel Sprong,R,F,5,0,0,0,0,0,3,7,-8,-4,-1,35,29,11,12,0,0,0,2,3,0,0,43.2,0.667,18,48.61111111,59.72222222,108.3333333,40.27777778,45.83333333,86.11111111,25,27.77777778,1,3,3,18,0,20,1,33,43,17,22,6,0,0,0,2,0,0,1,0,1,3,2,0,0,0,0,0,0,0,6,1,3,0,0,4,0,2,0,0,1,1,1,0,0
Daniel Winnik,C,F,21,4,3,2,9,14,31,49,-20,-31,2,215,155,53,93,13,0,1,18,29,2,3,233,2.7,30,55.36480687,60.51502146,115.8798283,39.91416309,47.89699571,87.8111588,27.55364807,33.73390558,8,9,28,107,10,131,8,186,235,107,113,27,3,4,14,18,0,3,2,0,14,12,1,0,1,2,0,2,1,0,41,15,21,0,3,15,5,5,0,1,3,3,3,0,0
Danny DeKeyser,D,D,14,2,0,1,3,0,8,26,-29,-35,0,172,131,66,69,12,0,0,16,15,3,1,233.8,2.25,25,44.14029085,51.58254919,95.72284003,33.61847733,42.60051326,76.21899059,25.4063302,33.36184773,8,3,13,99,8,130,8,166,201,79,102,23,2,0,3,13,0,2,0,0,13,6,4,0,1,0,1,0,0,0,19,1,8,0,0,9,3,8,0,0,3,0,2,0,0
Darnell Nurse,D,D,11,0,1,0,1,3,8,38,-15,-4,-1,176,135,52,65,8,0,0,30,20,1,3,200.5,0.925,20,52.66832918,57.15710723,109.8254364,40.39900249,41.59600998,81.99501247,29.92518703,27.83042394,9,9,20,100,5,93,6,139,191,82,93,24,0,1,4,14,0,0,1,0,14,8,2,0,0,0,0,0,0,0,9,4,6,0,1,6,3,2,0,0,0,0,0,0,0
Darren Helm,C,F,14,3,2,0,5,11,18,36,8,-2,3,138,106,50,45,2,11,8,22,19,2,3,170.6,2.5,28,48.53458382,45.72098476,94.25556858,37.28018757,37.98358734,75.26377491,26.37749121,30.94958968,7,8,18,75,6,88,3,108,130,64,67,26,2,2,10,17,0,2,0,0,14,7,5,0,0,1,1,2,2,0,23,6,9,0,2,5,3,2,0,0,2,0,1,0,0
Dave Bolland,C,F,10,0,0,0,0,2,13,22,-18,-13,-1,90,68,32,42,0,48,50,14,2,4,2,112.7,5.5,29,47.9148181,57.49778172,105.4125998,36.20230701,43.12333629,79.3256433,27.15173026,36.20230701,6,5,11,51,3,68,4,81,108,37,52,11,0,0,3,4,1,0,0,1,5,2,3,0,0,0,0,0,0,0,14,3,5,0,0,0,0,0,0,0,2,2,2,0,0
Dave Dziurzynski,L,F,1,0,0,0,0,0,0,0,-13,-7,0,2,2,1,3,0,0,0,3,0,0,0,7.7,0.75,25,15.58441558,116.8831169,132.4675325,15.58441558,70.12987013,85.71428571,15.58441558,62.33766234,0,0,0,2,0,8,0,9,15,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Backes,RC,F,14,2,3,2,7,7,21,27,-12,13,3,166,137,55,86,8,87,88,45,17,3,2,206.6,4.75,31,48.20909971,51.69409487,99.90319458,39.78702807,36.01161665,75.79864472,29.04162633,27.58954501,2,5,18,100,7,95,4,124,178,79,75,16,0,3,11,9,0,0,1,0,6,8,2,0,0,0,0,1,1,0,41,20,23,0,2,26,6,12,1,1,5,1,3,0,0
David Clarkson,R,F,7,0,1,0,1,3,3,5,-19,-13,0,41,30,16,13,3,2,3,15,8,0,2,68.7,5.5,31,35.80786026,52.40174672,88.20960699,26.20087336,37.55458515,63.75545852,14.84716157,24.45414847,1,1,3,17,1,28,1,43,60,21,24,3,0,0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,6,1,1,0,0,3,0,2,0,0,0,0,0,0,0
David Desharnais,C,F,15,0,5,0,5,9,23,31,9,3,-2,179,129,52,54,8,58,85,8,17,0,6,194.2,3.5,29,55.3038105,52.52317199,107.8269825,39.85581874,38.92893924,78.78475798,30.58702369,31.51390319,8,5,18,99,5,102,7,126,170,95,78,24,0,3,7,12,1,0,2,0,13,7,4,0,0,0,0,3,1,0,39,19,19,1,3,11,8,6,0,0,4,1,1,0,0
David Jones,R,F,14,6,3,0,9,11,18,30,-76,-52,0,130,96,42,79,4,4,5,25,8,2,2,187,4,31,41.71122995,66.09625668,107.8074866,30.80213904,47.48663102,78.28877005,21.4973262,35.29411765,3,7,14,67,10,110,10,148,206,70,100,19,4,3,14,12,2,3,0,0,13,5,1,0,2,1,0,2,1,1,19,8,9,1,3,7,4,2,1,0,0,0,0,0,0
David Krejci,C,F,20,3,6,2,11,14,26,44,0,-23,-1,278,197,94,87,9,141,136,15,12,7,2,286.4,7.25,29,58.24022346,58.24022346,116.4804469,41.27094972,46.08938547,87.3603352,31.2150838,33.51955307,10,9,22,149,14,160,15,220,278,130,144,27,2,8,8,11,1,1,0,0,10,12,5,0,0,1,0,1,1,1,86,30,45,0,5,31,11,16,1,3,4,1,2,0,1
David Legwand,CL,F,13,0,0,1,1,4,8,12,-8,-7,-2,71,51,13,27,1,23,20,8,9,1,1,93.4,3.5,35,45.61027837,50.74946467,96.35974304,32.76231263,37.25910064,70.02141328,28.26552463,24.4111349,5,0,7,44,3,38,5,58,79,39,32,9,0,1,4,4,1,0,1,0,6,2,1,0,0,0,0,0,0,0,19,6,12,0,0,3,2,2,0,1,1,1,1,0,1
David Pastrnak,RL,F,13,2,2,3,7,13,22,43,-17,-27,0,156,119,53,48,2,0,0,12,16,1,2,173.8,0.925,19,53.85500575,59.72382048,113.5788262,41.08170311,50.4027618,91.4844649,32.10586881,33.4867664,7,5,29,93,9,97,9,146,173,78,96,36,1,3,16,23,1,1,2,0,21,10,5,0,0,1,0,0,0,0,26,10,10,1,2,8,3,5,0,1,4,2,2,0,0
David Perron,RL,F,11,1,1,1,3,5,15,27,-8,-12,1,134,97,45,39,1,0,1,34,11,2,2,148.3,4.5,27,54.21443021,57.45111261,111.6655428,39.24477411,44.09979771,83.34457181,27.9163857,33.58057991,4,6,16,69,5,83,4,109,142,69,78,19,1,1,6,14,0,1,2,0,12,4,3,0,1,0,0,2,1,0,16,6,8,0,1,5,0,1,0,0,4,1,2,0,1
David Rundblad,D,D,7,0,0,0,0,1,3,17,23,10,1,82,60,21,15,2,0,0,2,13,1,1,79.4,1,24,61.96473552,44.58438287,106.5491184,45.34005038,37.78337531,83.12342569,34.00503778,29.47103275,5,3,9,45,1,39,0,50,59,42,28,12,0,0,2,5,0,0,0,0,6,4,2,0,0,0,0,1,1,0,13,2,3,0,0,7,2,2,0,0,0,0,0,0,0
David Savard,D,D,12,0,1,1,2,1,6,23,12,11,-3,174,140,60,75,5,0,0,22,25,2,0,206.5,1.3,24,50.55690073,47.07021792,97.62711864,40.6779661,37.48184019,78.1598063,32.83292978,28.47457627,6,3,14,113,8,98,11,129,162,94,76,24,0,0,2,10,0,0,0,0,12,7,5,0,0,0,0,0,0,0,26,7,18,2,0,8,3,6,0,0,5,2,3,0,0
David Schlemko,D,D,42,5,2,0,7,5,27,80,-11,4,-3,434,341,194,123,37,0,0,22,75,7,3,589.9,0.625,28,44.1430751,45.2619088,89.4049839,34.68384472,34.2769961,68.96084082,25.3263265,24.4109171,17,14,44,249,19,240,22,337,445,214,208,76,4,3,6,37,0,4,2,0,29,29,18,0,0,3,1,0,0,0,50,9,16,0,2,37,12,15,0,1,16,7,10,1,1
Dennis Everberg,C,F,4,0,0,0,0,1,1,2,-14,-6,-2,19,18,5,18,2,0,0,2,1,0,1,31.8,0.625,23,35.8490566,62.26415094,98.11320755,33.96226415,45.28301887,79.24528302,26.41509434,41.50943396,0,1,1,14,0,22,2,24,33,9,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0
Dennis Rasmussen,CL,F,25,3,1,2,6,13,24,39,-1,6,5,211,158,81,72,12,77,87,20,35,1,4,240.2,0.575,25,52.70607827,52.95587011,105.6619484,39.46711074,37.9683597,77.43547044,29.2256453,31.22398002,10,5,21,117,11,125,6,152,212,98,86,19,2,1,7,12,2,1,2,0,6,8,5,0,1,0,0,2,1,1,31,7,18,1,1,12,3,4,1,0,6,1,2,0,0
Dennis Seidenberg,D,D,15,1,4,1,6,1,8,33,-33,-22,3,201,157,80,57,18,0,0,24,32,2,2,252.2,4.5,34,47.81919112,55.67010309,103.4892942,37.35130849,42.5852498,79.93655829,29.97620936,29.50039651,7,4,21,126,11,124,8,179,234,94,116,23,1,3,2,14,0,1,0,0,15,5,3,0,1,0,0,0,0,0,25,8,16,0,3,12,1,7,0,0,5,2,2,0,0
Dennis Wideman,D,D,14,0,1,2,3,1,10,31,-59,-26,3,188,145,68,65,23,0,0,14,22,1,0,232.5,5.25,32,48.51612903,63.74193548,112.2580645,37.41935484,44.12903226,81.5483871,28.64516129,32.25806452,12,7,12,111,13,125,10,171,247,108,131,26,0,3,2,7,1,0,2,0,16,6,4,0,0,0,0,2,1,0,28,4,12,0,1,15,6,7,0,2,3,0,1,0,0
Derek Dorsett,LR,F,16,0,0,2,2,11,22,34,-62,-38,-8,135,101,52,59,12,0,1,33,15,5,2,178,3.1,28,45.50561798,66.40449438,111.9101124,34.04494382,46.85393258,80.8988764,25.28089888,33.37078652,7,7,20,75,2,99,10,139,197,69,108,26,0,0,14,16,3,0,1,0,13,9,4,0,0,0,0,0,0,0,16,5,8,0,0,6,3,3,1,0,2,1,1,1,0
Derek Forbort,D,D,3,0,0,0,0,1,2,5,15,13,-1,32,25,11,4,2,0,0,2,4,1,0,26.3,0.9,23,73.00380228,38.78326996,111.7870722,57.03422053,27.37642586,84.41064639,38.78326996,13.68821293,2,0,3,17,0,6,1,12,17,15,8,3,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,2,2,1,0,0,2,2,1,0,0,0,0,0,0,0
Derek Grant,CL,F,3,0,0,0,0,4,8,9,-1,1,0,22,19,7,8,3,12,12,10,4,0,0,25.4,0.7,25,51.96850394,54.33070866,106.2992126,44.88188976,42.51968504,87.4015748,33.07086614,37.79527559,1,4,4,14,0,16,0,18,23,13,9,4,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,0,0,0,4,2,3,0,0,0,0,0,0,0,1,0,1,0,0
Derek MacKenzie,CL,F,15,2,0,2,4,7,11,20,-5,5,4,100,79,61,46,8,71,59,30,11,2,0,145.8,1.3,34,41.15226337,43.20987654,84.36213992,32.51028807,30.4526749,62.96296296,22.22222222,21.81069959,3,4,11,54,6,53,2,74,105,50,40,9,0,1,5,4,0,0,0,0,5,3,1,0,0,0,0,0,0,0,21,2,15,0,1,6,1,0,0,0,1,1,1,0,0
Derek Stepan,C,F,14,4,0,1,5,11,21,35,3,17,-1,162,126,67,62,5,78,96,6,14,1,1,177.6,8,25,54.72972973,53.71621622,108.4459459,42.56756757,36.82432432,79.39189189,29.72972973,28.71621622,7,5,19,88,6,85,7,109,159,74,73,22,4,1,13,16,2,4,1,0,8,10,4,0,2,1,1,2,1,0,34,10,16,0,0,19,8,11,0,1,6,2,1,0,0
Derick Brassard,C,F,15,3,5,2,10,9,21,38,13,0,11,192,142,85,47,3,110,92,12,8,1,1,213.5,6,27,53.95784543,50.30444965,104.2622951,39.90632319,39.90632319,79.81264637,30.35128806,27.54098361,10,4,21,108,16,98,5,142,179,87,78,26,3,7,15,14,0,3,1,0,10,10,6,0,1,1,1,1,1,0,38,15,24,3,5,19,4,7,0,2,6,5,4,0,1
Deryk Engelland,DR,D,11,0,0,2,2,0,6,15,-23,-18,-2,101,75,34,36,7,0,0,21,14,1,0,134.5,3,33,45.05576208,55.31598513,100.3717472,33.45724907,41.48698885,74.94423792,25.42750929,31.2267658,6,1,8,57,3,70,5,93,124,54,54,15,0,1,0,7,0,0,1,0,7,6,2,0,0,0,0,1,0,0,4,2,1,0,0,8,5,8,2,1,3,0,1,0,0
Devante Smith-Pelly,C,F,12,0,0,2,2,5,9,22,-4,-7,-1,110,83,39,50,2,0,0,20,20,5,4,128.8,0.8,23,51.24223602,53.10559006,104.3478261,38.66459627,41.92546584,80.59006211,31.21118012,28.41614907,5,3,14,67,3,61,4,90,114,43,57,17,0,0,8,10,0,0,0,0,10,5,2,0,0,0,0,0,0,0,14,4,5,1,0,5,1,1,0,0,1,0,0,0,0
Devin Shore,C,F,2,0,0,0,0,1,2,2,-10,-9,0,16,13,5,9,0,0,1,2,2,0,0,24.1,0.818,21,39.8340249,64.73029046,104.5643154,32.36514523,54.77178423,87.13692946,17.42738589,39.8340249,1,0,1,7,1,16,1,22,26,9,15,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dion Phaneuf,D,D,23,1,3,2,6,1,19,77,62,49,1,405,305,141,143,26,0,0,38,19,5,4,387.1,8,30,62.77447688,53.16455696,115.9390338,47.27460604,39.67966934,86.95427538,33.01472488,26.50477913,26,16,34,213,12,171,11,256,343,214,156,63,1,2,3,26,0,1,2,0,24,30,9,0,1,0,0,0,0,0,26,8,14,0,2,25,11,13,2,0,12,5,7,1,0
Dmitrij Jaskin,LR,F,12,0,1,0,1,4,15,29,56,59,-2,146,116,33,37,4,2,8,26,18,4,0,138.3,0.775,22,63.34056399,39.04555315,102.3861171,50.32537961,24.72885033,75.05422993,38.17787419,19.52277657,5,6,18,88,2,45,4,57,90,58,47,24,0,1,13,14,0,0,2,0,11,9,4,0,0,0,0,3,1,0,27,11,12,0,1,12,3,5,0,0,0,0,0,0,0
Dmitry Kulikov,D,D,16,1,2,0,3,1,6,30,10,15,4,210,164,70,71,16,0,0,18,47,4,0,257.9,4.5,24,48.85614579,46.52966266,95.38580845,38.15432338,34.66459868,72.81892206,28.15044591,26.52190772,11,6,12,121,13,114,9,149,200,104,86,28,2,0,3,13,0,2,1,0,18,7,3,0,1,1,0,0,0,0,10,1,1,0,0,10,3,2,0,0,4,1,4,0,0
Dmitry Orlov,D,D,29,3,1,4,8,4,16,54,48,13,6,329,227,121,71,18,0,0,33,21,1,5,375,2.25,24,52.64,44.96,97.6,36.32,34.24,70.56,25.28,24,18,9,24,158,18,150,12,214,281,150,150,37,2,4,4,14,0,2,1,0,21,12,4,0,0,1,1,0,0,0,44,13,18,0,1,24,9,10,0,3,9,4,3,0,0
Dominic Moore,CL,F,15,2,1,1,4,8,17,28,-18,-13,3,130,99,25,75,4,60,47,10,13,0,2,165.7,1.5,35,47.07302354,53.5908268,100.6638503,35.84791792,40.55522028,76.4031382,26.43331322,30.05431503,5,3,18,73,7,83,4,112,148,65,76,18,1,1,7,13,0,1,2,0,9,6,3,0,0,0,1,1,1,0,21,6,12,0,0,7,1,3,0,1,2,0,1,0,0
Dougie Hamilton,D,D,14,0,0,0,0,2,10,42,-38,-23,-5,201,140,85,70,24,0,0,13,12,6,0,223.3,5.5,22,54.0080609,64.21854008,118.226601,37.61755486,43.79758173,81.41513659,26.06359158,30.63143753,11,13,18,97,6,114,11,163,239,98,122,32,0,0,7,10,1,0,0,0,18,7,7,0,0,0,0,0,0,0,20,7,10,0,0,16,7,9,1,0,6,3,1,0,0
Drew Doughty,D,D,9,0,1,2,3,2,8,36,47,25,4,186,137,80,48,7,0,0,11,15,1,0,181.4,7.1,25,61.52149945,45.97574421,107.4972437,45.31422271,37.04520397,82.35942668,31.42227122,26.79162073,12,10,14,95,7,81,3,112,139,83,74,30,0,2,2,11,0,0,2,0,18,7,5,0,0,0,0,1,0,0,25,7,9,2,1,12,2,7,0,1,10,2,5,0,0
Drew Miller,LR,F,12,0,0,0,0,3,8,15,-46,-38,-1,66,53,20,43,6,0,1,19,11,0,0,117.6,1.35,31,33.67346939,57.14285714,90.81632653,27.04081633,46.42857143,73.46938776,17.85714286,31.12244898,5,3,7,35,2,61,3,91,112,35,47,12,0,0,5,6,1,0,0,0,9,2,1,0,0,0,0,1,0,0,10,4,4,0,0,1,0,0,0,0,1,0,0,0,0
Drew Stafford,RC,F,14,2,1,0,3,12,24,42,-5,-7,-5,187,139,58,63,1,2,4,12,15,1,0,200.1,4.35,29,56.07196402,57.57121439,113.6431784,41.67916042,43.77811094,85.45727136,30.58470765,32.3838081,6,8,26,102,3,108,8,146,192,92,99,36,2,1,12,21,2,2,1,0,18,9,9,0,1,1,0,2,2,0,26,12,12,1,1,20,4,7,0,0,4,1,1,0,0
Duncan Keith,D,D,42,3,7,4,14,2,31,132,64,53,-1,746,548,241,289,50,0,0,8,49,3,3,777.5,7.5,32,57.56913183,52.63022508,110.1993569,42.28938907,38.19935691,80.48874598,30.17363344,27.54983923,47,27,55,391,25,357,26,495,682,354,297,115,2,8,6,48,0,2,5,0,49,34,32,0,1,1,0,1,0,0,86,19,39,0,5,78,23,42,3,3,38,5,20,0,1
Dustin Brown,LR,F,9,1,2,1,4,8,19,43,39,37,2,126,106,41,33,2,0,1,21,12,1,3,115.9,7.25,30,65.22864538,45.03882657,110.267472,54.87489215,35.72044866,90.59534081,36.23813632,26.91975841,4,11,27,70,3,52,1,69,87,54,46,31,0,2,12,22,1,0,1,0,13,10,8,0,0,0,0,3,1,0,25,10,18,0,2,10,2,4,0,0,4,2,1,0,1
Dustin Byfuglien,D,D,14,4,1,1,6,9,20,55,39,34,0,262,206,74,83,13,0,0,35,17,4,0,267.2,6,30,58.83233533,50.0748503,108.9071856,46.25748503,38.62275449,84.88023952,32.78443114,27.17065868,12,11,28,146,11,121,11,172,223,144,114,34,2,2,3,15,0,1,2,0,16,11,7,0,0,1,0,2,2,1,30,9,10,2,1,13,4,7,0,1,9,4,5,0,0
Dustin Jeffrey,CL,F,1,0,0,0,0,0,1,1,-3,-3,-1,8,6,3,2,0,5,4,0,0,0,0,9.3,0.575,27,51.61290323,70.96774194,122.5806452,38.70967742,58.06451613,96.77419355,32.25806452,58.06451613,0,0,1,5,0,9,1,9,11,3,7,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,0,0,1,1,1,0,0
Dwight King,RL,F,1,1,0,0,1,3,3,4,9,12,2,22,20,9,3,0,0,1,2,3,1,0,14,2,26,94.28571429,55.71428571,150,85.71428571,34.28571429,120,60,30,0,0,3,14,2,7,0,8,13,12,7,3,1,0,2,3,0,0,0,0,2,0,1,0,0,0,0,1,1,1,3,0,2,0,0,1,1,0,0,0,0,0,0,0,0
Dylan DeMelo,D,D,7,0,0,0,0,1,2,10,-18,-9,-5,55,42,19,16,5,0,0,7,11,3,0,82.1,0.625,22,40.19488429,53.34957369,93.54445798,30.69427527,37.27161998,67.96589525,23.38611449,26.30937881,4,1,5,32,0,36,5,51,73,29,37,9,0,0,0,5,0,0,1,0,4,3,2,0,0,0,0,0,0,0,7,2,2,0,0,3,0,1,0,0,0,0,0,0,0
Dylan Larkin,C,F,17,4,7,0,11,15,36,62,3,-11,9,207,153,74,66,5,10,14,17,22,1,1,242.1,0.925,19,51.30111524,50.55762082,101.8587361,37.91821561,40.64436183,78.56257745,27.01363073,28.99628253,19,15,24,109,16,117,7,164,204,108,106,45,2,7,16,19,1,2,3,1,26,11,7,0,2,0,0,2,1,0,34,16,23,1,7,14,8,6,0,0,3,2,1,0,0
Dylan McIlrath,D,D,7,1,0,0,1,0,6,17,7,5,2,86,65,30,24,5,0,0,18,12,0,0,97.1,0.6,23,53.14109166,48.81565396,101.9567456,40.16477858,37.07518023,77.23995881,29.66014418,29.66014418,5,2,9,48,6,48,4,60,79,44,32,11,1,1,0,6,0,1,1,0,3,6,2,0,0,1,0,0,0,0,5,2,4,0,0,5,1,4,0,1,1,0,0,0,0
Dylan Olsen,D,D,3,0,0,0,0,0,3,3,-15,-10,0,24,21,17,20,3,0,0,3,5,1,0,42.4,0.85,24,33.96226415,55.18867925,89.1509434,29.71698113,43.86792453,73.58490566,22.64150943,22.64150943,0,0,3,16,0,16,0,31,39,13,10,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elias Lindholm,RC,F,15,1,0,1,2,3,15,39,59,43,-1,215,163,79,52,6,28,34,8,8,4,0,197.6,0.925,20,65.28340081,47.36842105,112.6518219,49.49392713,36.43724696,85.93117409,32.48987854,24.5951417,12,8,18,107,7,81,8,120,156,91,82,29,1,0,14,13,1,1,0,0,14,10,5,0,1,0,0,1,1,0,33,9,18,0,0,23,8,11,0,0,4,2,2,0,1
Emerson Etem,LR,F,5,0,1,0,1,1,3,6,-10,-9,-2,45,34,15,17,0,2,0,9,8,0,1,55,0.85,23,49.09090909,60,109.0909091,37.09090909,46.90909091,84,30.54545455,30.54545455,3,1,2,28,2,28,4,43,55,26,23,5,0,1,2,2,0,0,0,0,1,3,1,0,0,0,0,1,0,0,12,8,8,0,1,5,4,3,0,0,0,0,0,0,0
Eric Fehr,C,F,5,0,1,0,1,3,8,11,2,4,-2,43,33,15,33,0,12,14,3,4,1,1,50.8,2,30,50.78740157,48.42519685,99.21259843,38.97637795,34.2519685,73.22834646,27.16535433,27.16535433,3,3,5,23,1,23,3,29,41,24,17,10,0,1,4,3,0,0,0,0,1,7,2,0,0,0,0,0,0,0,9,4,6,1,1,7,1,4,0,0,0,0,0,0,0
Eric Gelinas,D,D,30,0,2,0,2,0,15,70,33,28,-3,303,230,129,67,18,0,0,44,50,6,0,367.2,1.5,24,49.50980392,44.11764706,93.62745098,37.58169935,33.00653595,70.58823529,27.94117647,24.50980392,23,14,33,171,8,150,11,202,270,144,135,59,0,2,2,19,1,0,0,0,18,23,18,0,0,0,0,1,0,0,23,7,17,1,2,13,1,6,0,0,8,0,4,0,0
Eric Gryba,D,D,18,0,1,0,1,3,15,45,-18,-9,-4,256,184,93,80,28,0,0,38,42,6,1,287.5,1.3,27,53.42608696,57.1826087,110.6086957,38.4,40.27826087,78.67826087,28.8,29.84347826,20,3,22,138,5,143,9,193,274,125,124,34,0,0,4,11,1,0,1,0,18,10,6,0,0,0,0,1,1,0,17,5,9,0,0,18,6,15,0,0,5,1,0,0,0
Eric Nystrom,LR,F,10,2,0,0,2,2,4,7,-33,-28,-2,57,39,8,69,3,0,0,16,10,0,1,91.4,3,32,37.41794311,59.0809628,96.49890591,25.60175055,43.98249453,69.58424508,19.03719912,34.1356674,2,1,2,29,2,52,4,67,90,26,41,6,2,0,1,3,0,2,0,0,3,1,2,0,1,0,1,0,0,0,8,1,4,1,0,2,2,2,0,0,1,0,1,0,0
Eric Staal,CL,F,15,3,2,1,6,13,31,56,55,34,-2,242,181,80,61,3,55,57,14,11,3,1,225.9,9.5,30,64.27622842,49.66799469,113.9442231,48.07436919,39.0438247,87.11819389,31.07569721,25.49800797,8,21,24,117,9,96,11,147,187,98,97,32,2,3,13,17,1,1,1,0,14,12,6,0,1,0,0,1,1,1,45,11,21,1,2,27,7,9,0,1,7,1,4,0,0
Erik Condra,RL,F,19,2,2,1,5,6,19,33,28,27,3,167,130,47,47,9,1,1,2,31,5,2,182.9,1,29,54.78403499,45.59868781,100.3827228,42.64625478,33.78895571,76.4352105,30.83652269,23.9475123,5,8,18,94,10,73,7,103,139,73,70,22,2,4,5,14,0,2,0,0,8,10,4,0,1,1,0,0,0,0,31,8,15,0,2,15,3,8,0,2,2,1,0,0,0
