Name,Pos,PosSimple,Gm,G,A1,A2,P,iHSC,iSC,iCF,C+ -,F+ -,G+ -,CF,FF,ZSO,ZSD,AB,FO_W,FO_L,HIT,HIT-,PN,PN-,TOI,Salary,Age,CF60,CA60,CP60,FF60,FA60,FP60,SF60,SA60,BK,MS,SH,SF,GF,SA,GA,FA,CA,SCF,SCA,ShotAttempts,Goals,Assists,ScoringChances,ShotsOnGoal,OddmanRushes,DirectGoals,ReboundsGeneratedFromAttempts,AttemptsWith0Assists,AttemptsWith1Assists,AttemptsWith2Assists,AttemptsWith3Assists,DirectGoalsWith0Assists,DirectGoalsWith1Assists,DirectGoalsWith2Assists,DirectGoalsWith3Assists,ReboundAttempts,ReboundsOnGoal,ReboundGoalsScored,A1OnAttempts,A1OnScoringChances,A1OnShotsOnGoal,A1OnOddmanRushes,A1OnDirectGoals,A2OnAttempts,A2OnScoringChances,A2OnShotsOnGoal,A2OnOddmanRushes,A2OnDirectGoals,A3OnAttempts,A3OnScoringChances,A3OnShotsOnGoal,A3OnOddmanRushes,A3OnDirectGoals
Michal Jordan,D,D,5,0,0,0,0,1,1,10,3,1,-2,60,43,22,17,4,0,0,2,11,1,1,73.6,0.625,25,48.91304348,46.4673913,95.38043478,35.05434783,34.23913043,69.29347826,20.38043478,30.97826087,2,5,3,25,3,38,5,42,57,20,28,11,0,0,0,2,0,0,0,0,6,3,2,0,0,0,0,0,0,0,9,0,2,0,0,2,1,1,0,0,3,0,1,0,0
Michal Rozsival,D,D,30,0,3,1,4,1,10,46,-3,-20,3,365,264,119,79,29,0,0,43,79,5,2,426.6,0.6,37,51.33614627,51.7580872,103.0942335,37.13080169,39.94374121,77.0745429,28.27004219,31.50492264,19,8,19,201,13,224,10,284,368,165,186,36,0,1,0,17,0,0,3,0,12,12,12,0,0,0,0,0,0,0,36,10,12,0,0,24,9,12,0,1,16,6,11,1,2
Micheal Ferland,L,F,13,0,0,1,1,10,15,27,-16,-20,-5,123,88,45,41,1,1,1,46,12,4,1,138.5,0.75,23,53.28519856,60.2166065,113.5018051,38.12274368,46.78700361,84.90974729,27.72563177,33.79061372,5,4,18,64,3,78,8,108,139,65,71,17,0,1,9,10,1,0,1,0,7,8,2,0,0,0,0,2,2,0,15,5,4,0,0,10,3,6,0,1,0,0,0,0,0
Micheal Haley,LR,F,4,0,0,0,0,2,3,4,-21,-14,-1,20,18,9,3,2,8,5,12,3,0,1,29.2,0.6,29,41.09589041,84.24657534,125.3424658,36.98630137,65.75342466,102.739726,32.87671233,36.98630137,0,1,3,16,0,18,1,32,41,11,27,5,0,0,1,3,0,0,1,0,2,2,1,0,0,0,0,0,0,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0
Miikka Salomaki,LR,F,6,0,1,0,1,5,8,10,3,3,0,52,37,3,32,6,0,0,17,5,1,0,59.1,0.843,22,52.79187817,49.74619289,102.5380711,37.56345178,34.5177665,72.08121827,27.41116751,24.36548223,2,2,6,27,2,24,2,34,49,20,19,3,0,1,2,3,1,0,1,0,2,0,1,0,0,0,0,1,1,0,11,0,7,0,1,2,2,1,0,0,0,0,0,0,0
Mika Zibanejad,C,F,12,1,1,0,2,9,21,32,-24,-23,-7,128,92,64,33,3,59,85,19,8,0,3,147.6,2,22,52.03252033,61.78861789,113.8211382,37.39837398,46.74796748,84.14634146,26.01626016,34.95934959,8,6,17,64,3,86,10,115,152,64,83,22,1,1,6,12,0,1,1,0,9,9,4,0,1,0,0,3,0,0,21,2,11,0,1,14,3,5,0,0,3,1,1,0,0
Mikael Backlund,C,F,14,0,1,0,1,7,15,31,-24,-15,-4,160,113,45,57,8,79,80,13,15,0,1,177.3,3.575,26,54.14551607,62.26734349,116.4128596,38.24027073,43.31641286,81.55668359,27.41116751,24.36548223,6,10,15,81,4,72,8,128,184,73,87,19,0,1,5,7,0,0,2,0,7,7,5,0,0,0,0,1,1,0,29,12,14,0,1,13,2,4,0,0,4,2,1,0,0
Mikael Granlund,C,F,12,0,6,0,6,5,20,30,4,-3,3,171,125,70,44,5,72,80,11,19,2,3,173.8,2.8,23,59.03337169,57.65247411,116.6858458,43.15304948,44.18872267,87.34177215,31.76064442,30.37974684,6,6,18,92,8,88,5,128,167,80,95,22,0,4,12,14,1,0,3,0,13,6,3,0,0,0,0,4,3,0,45,19,23,2,4,18,4,7,1,0,9,2,2,0,0
Mike Angelidis,L,F,4,1,0,0,1,2,3,6,3,-1,2,27,16,7,10,1,10,20,6,6,0,0,34,0.65,30,47.64705882,42.35294118,90,28.23529412,30,58.23529412,21.17647059,19.41176471,3,2,0,12,2,11,0,17,24,16,16,3,1,0,2,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Mike Blunden,RL,F,7,2,2,0,4,4,10,11,-7,-10,4,46,31,15,15,0,0,0,12,14,1,0,59,0,28,46.77966102,53.89830508,100.6779661,31.52542373,41.69491525,73.22033898,23.38983051,24.40677966,4,1,4,23,4,24,0,41,53,27,32,7,2,0,3,4,0,2,1,0,4,2,1,0,0,2,0,1,1,0,4,1,1,0,0,2,2,1,0,0,1,0,0,0,0
Mike Brown,RL,F,20,1,0,0,1,3,11,24,-56,-31,-3,102,81,31,29,8,2,1,59,15,2,1,153.7,1.25,30,39.81782694,61.67859466,101.4964216,31.62003904,43.72153546,75.3415745,22.25113858,27.71633051,4,6,13,57,2,71,5,112,158,52,68,15,1,0,2,9,1,0,0,0,4,8,3,0,0,0,0,3,1,1,11,4,9,0,0,12,3,5,0,0,1,0,1,0,0
Mike Cammalleri,LC,F,40,10,14,2,26,26,55,89,-20,-16,13,429,336,211,133,11,5,3,12,20,8,4,575.3,5,33,44.7418738,46.82774205,91.56961585,35.04258648,36.71128107,71.75386755,26.07335303,26.69911351,12,15,52,250,32,256,19,352,449,230,202,74,9,11,29,45,4,9,4,0,38,17,19,0,5,2,2,6,4,0,76,22,39,4,8,43,15,19,3,3,11,2,6,0,1
Mike Fisher,C,F,9,1,0,1,2,4,10,16,4,5,1,109,76,42,38,8,70,49,17,6,4,0,120.8,4.8,35,54.13907285,52.15231788,106.2913907,37.74834437,35.26490066,73.01324503,24.83443709,23.8410596,7,3,5,50,5,48,4,71,105,53,51,11,1,1,4,4,0,1,0,0,7,2,2,0,0,0,1,0,0,0,25,5,16,0,1,5,1,2,1,0,3,1,1,0,0
Mike Green,D,D,15,0,0,1,1,0,11,27,22,12,-4,227,176,76,43,18,0,1,22,34,2,1,267.3,6,29,50.95398429,46.01571268,96.96969697,39.50617284,36.81257015,76.31874299,27.8338945,27.60942761,9,6,12,124,9,123,13,164,205,106,95,25,0,1,3,7,0,0,2,0,10,11,4,0,0,0,0,0,0,0,24,6,11,0,0,17,2,11,0,1,6,3,3,0,0
Mike Hoffman,L,F,11,4,2,1,7,5,16,42,-28,-33,3,129,90,58,45,2,1,0,3,6,1,0,147.9,2,25,52.3326572,63.69168357,116.0243408,36.51115619,49.89858012,86.40973631,25.55780933,36.10547667,8,9,21,63,9,89,6,123,157,53,78,35,3,2,12,21,0,3,2,0,19,12,4,0,2,1,0,0,0,0,17,4,7,1,1,9,2,3,0,1,5,3,4,0,1
Mike Reilly,D,D,2,1,0,0,1,0,2,3,8,3,-1,20,12,6,2,1,0,0,0,3,1,0,17.9,0.925,22,67.03910615,40.22346369,107.2625698,40.22346369,30.16759777,70.39106145,30.16759777,16.75977654,0,0,2,9,1,5,2,9,12,9,7,2,1,0,1,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mike Ribeiro,C,F,12,0,3,3,6,4,8,13,7,2,2,166,126,74,16,4,45,67,11,11,1,1,175.4,3.5,35,56.78449259,54.38996579,111.1744584,43.10148233,42.41733181,85.51881414,30.78677309,30.78677309,2,3,8,90,8,90,6,124,159,72,77,10,0,4,5,6,0,0,1,0,2,4,4,0,0,0,0,0,0,0,44,14,23,0,3,17,8,10,0,1,6,3,2,0,0
Mike Richards,CL,F,1,0,0,0,0,0,1,1,-4,-4,0,4,4,1,0,0,3,0,0,1,0,0,5.2,0,30,46.15384615,92.30769231,138.4615385,46.15384615,92.30769231,138.4615385,11.53846154,46.15384615,0,1,0,1,0,4,0,8,8,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Santorelli,RC,F,9,0,0,1,1,2,7,13,-1,-1,0,78,59,27,12,6,13,9,3,7,1,0,81.9,0.875,29,57.14285714,57.87545788,115.018315,43.22344322,43.95604396,87.17948718,31.5018315,35.8974359,4,2,7,43,2,49,2,60,79,32,43,10,0,0,4,6,0,0,1,0,8,2,0,0,0,0,0,0,0,0,9,1,4,0,0,7,1,4,0,0,1,0,0,0,0
Mike Sislo,R,F,4,0,0,0,0,2,5,12,5,7,1,33,26,13,10,0,0,1,7,5,0,0,38.1,0.575,27,51.96850394,44.09448819,96.06299213,40.94488189,29.92125984,70.86614173,28.34645669,18.8976378,0,3,9,18,1,12,0,19,28,14,12,7,0,0,1,3,0,0,0,0,4,3,0,0,0,0,0,0,0,0,5,1,1,0,0,3,0,1,0,0,1,1,1,0,1
Mike Weber,D,D,10,0,1,0,1,1,6,22,22,16,-2,135,102,37,46,11,0,0,20,8,2,0,151.1,2,27,53.60688286,44.87094639,98.47782925,40.50297816,34.14956982,74.65254798,29.38451357,25.81072138,7,5,10,74,4,65,6,86,113,68,52,18,0,1,2,5,0,0,0,0,10,5,3,0,0,0,0,0,0,0,8,3,5,0,1,9,4,6,1,0,1,0,1,0,0
Mikhail Grabovski,C,F,6,0,2,0,2,4,9,14,5,7,3,64,49,16,17,4,32,25,4,8,0,1,77.6,5,31,49.48453608,45.6185567,95.10309278,37.88659794,32.4742268,70.36082474,30.92783505,20.87628866,4,3,7,40,4,27,1,42,59,39,26,9,0,2,5,4,1,0,0,0,3,2,4,0,0,0,0,0,0,0,10,2,6,0,2,5,1,1,0,0,5,2,2,0,1
Mikhail Grigorenko,CL,F,12,0,1,2,3,5,11,18,-16,-10,-3,89,65,28,35,4,31,31,6,8,0,1,114,0.675,21,46.84210526,55.26315789,102.1052632,34.21052632,39.47368421,73.68421053,22.63157895,29.47368421,5,4,9,43,3,56,6,75,105,37,54,11,0,2,6,5,0,0,0,1,3,3,4,0,0,0,0,1,0,0,14,9,8,0,1,9,3,5,0,1,1,0,0,0,0
