Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Panthers,F,F,F,D,D,G/Extra Attacker,Opp,F,F,F,D,D,G/Extra Attacker
1,0.586805556,5v5,PHI,89,w,14,,,or,,,,y,,,,,,0,1,20035,10/12/2015,PHI,FLA,,,,21,63,36,33,44,1,,10,14,89,3,82,30
1,0.586111111,5v5,PHI,10,w,,,,,,,,,,,y,y,y,0,1,20035,10/12/2015,PHI,FLA,,,,21,63,36,33,44,1,,10,14,89,3,82,30
1,0.499305556,5v5,FLA,5,w,86,,,opl,,,,y,,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,17,22,86,5,51,1,,25,76,78,3,82,30
1,0.473611111,5v5,PHI,12,w,28,93,,nc,nr,,,y,,,,,,1,1,20035,10/12/2015,PHI,FLA,,,,27,73,18,6,33,1,,28,93,12,15,32,30
1,0.472916667,5v5,PHI,15,w,,,,,,,,,,,r,,,1,1,20035,10/12/2015,PHI,FLA,,,,27,73,18,6,33,1,,28,93,12,15,32,30
1,0.410416667,5v5,FLA,16,w,68,5,51,nr,dr,dc,,,,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,11,16,68,5,51,1,,10,14,89,15,23,30
1,0.311111111,5v4,FLA,36,w,21,18,,nr,nc,,,y,,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,21,73,18,36,51,1,,14,24,23,32,30,0
1,0.304166667,5v4,FLA,73,o,51,18,,or,opr,,,,,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,21,73,18,36,51,1,,14,24,23,32,30,0
1,0.297916667,4v5,PHI,24,w,14,,,or,,,y,,,,,,,1,1,20035,10/12/2015,PHI,FLA,,,,21,73,18,36,51,1,,14,24,23,32,30,0
1,0.238888889,5v4,PHI,28,w,93,28,32,oc,opl,ol,,y,,,,,,1,1,20035,10/12/2015,PHI,FLA,,,,63,36,33,44,1,0,,17,28,93,12,32,30
1,0.189583333,5v4,PHI,10,w,89,14,,oelc,oelr,,y,y,,,,,,1,1,20035,10/12/2015,PHI,FLA,,,,11,16,33,44,1,0,,10,14,89,15,82,30
1,0.179166667,5v4,PHI,15,o,89,10,,opl,or,,,y,,,,,,1,1,20035,10/12/2015,PHI,FLA,,,,11,16,33,44,1,0,,10,14,89,15,82,30
