NameCode,Name,Pos,home,G,A1,A2,P,iHSC,iSC,iCF,C+/-,F+/-,G+/-,CF,FF,ZSO,ZSD,AB,FO_W,FO_L,HIT,HIT-,PN,PN-,TOI,CF60,CA60,CP60,FF60,FA60,FP60,SF60,SA60,BK,AB,MS,SH,SF,SA,GF,GA,FF,FA,CF,CA,SCF,SCA,GameID
lilesjo80,John-Michael.Liles,D,1,0,0,0,0,0,1,1,12,9,-1,17,13,5,3,0,0,0,1,2,0,1,14.4,70.7,20.8,91.5,54,16.6,70.7,20.8,16.6,1,0,0,0,5,4,0,1,13,4,17,5,5,3,20023
hainsro81,Ron.Hainsey,D,1,0,0,0,0,0,0,4,12,13,-3,23,21,3,3,1,0,0,3,1,0,0,16,86.2,41.2,127.4,78.7,30,108.6,41.2,22.5,1,1,2,1,11,6,0,3,21,8,23,11,11,6,20023
faulkju92,Justin.Faulk,D,1,0,0,0,0,0,4,5,11,12,-3,25,22,4,4,1,0,0,2,2,0,0,17.6,85.3,47.8,133.1,75.1,34.1,109.2,51.2,27.3,1,1,1,3,15,8,0,3,22,10,25,14,15,7,20023
staaljo88,Jordan.Staal,C,1,0,0,0,0,2,3,6,9,6,-1,19,14,3,3,0,6,7,2,2,0,0,13.1,87.4,46,133.3,64.4,36.8,101.1,36.8,36.8,1,0,2,3,8,8,1,2,14,8,19,10,7,5,20023
jordami90,Michal.Jordan,D,1,0,0,0,0,0,0,2,9,8,-1,16,13,5,3,1,0,0,1,6,0,0,14.9,64.5,28.2,92.8,52.4,20.2,72.6,28.2,20.2,0,1,1,1,7,5,0,1,13,5,16,7,6,4,20023
verstkr86,Kris.Versteeg,LR,1,0,0,0,0,0,1,2,7,4,-1,17,13,3,3,0,0,0,0,2,0,0,12.8,79.6,46.8,126.5,60.9,42.2,103.1,32.8,32.8,1,0,1,0,7,7,1,2,13,9,17,10,6,6,20023
terrych89,Chris.Terry,RL,1,0,0,0,0,1,1,2,6,5,-2,12,9,2,0,1,0,0,1,5,0,0,11.2,64.5,32.2,96.7,48.4,21.5,69.9,32.2,21.5,0,1,2,0,6,4,0,2,9,4,12,6,4,3,20023
murphry93,Ryan.Murphy,D,1,0,1,0,1,0,0,5,6,7,2,22,18,6,4,2,0,0,0,0,0,0,17.8,74.4,54.1,128.5,60.8,37.2,98,47.3,23.7,2,2,1,2,14,7,2,0,18,11,22,16,10,9,20023
hanifno97,Noah.Hanifin,D,1,0,1,0,1,0,0,5,6,7,2,23,19,5,3,1,0,0,1,2,0,0,16.3,84.8,62.7,147.5,70.1,44.3,114.3,51.6,29.5,0,1,1,4,14,8,2,0,19,12,23,17,9,9,20023
gerbena87,Nathan.Gerbe,LR,1,1,0,0,1,1,1,5,6,5,-1,20,15,3,3,0,0,0,0,1,0,0,15.4,77.7,54.4,132.1,58.3,38.9,97.1,35,38.9,1,0,2,1,9,10,1,2,15,10,20,14,9,6,20023
nestran91,Andrej.Nestrasil,C,1,0,0,0,0,1,2,5,5,6,-1,12,9,4,1,1,0,3,0,3,0,0,12.9,55.9,32.6,88.5,41.9,14,55.9,18.6,9.3,2,1,1,2,4,2,0,1,9,3,12,7,5,5,20023
skinnje92,Jeff.Skinner,L,1,0,0,0,0,0,3,4,4,3,-1,9,7,2,0,0,0,0,0,1,0,1,10.7,50.3,27.9,78.2,39.1,22.3,61.4,27.9,5.6,0,0,1,3,5,1,0,1,7,4,9,5,5,5,20023
nashxri89,Riley.Nash,CR,1,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,1,0,1,0,0,1.5,80.4,0,80.4,80.4,0,80.4,80.4,0,0,0,0,0,2,0,0,0,2,0,2,0,1,0,20023
mccleja83,Jay.McClement,C,1,0,0,0,0,0,0,0,0,0,-1,7,5,4,1,0,4,5,2,2,0,0,10.9,38.4,38.4,76.7,27.4,27.4,54.8,16.4,16.4,0,0,0,0,3,3,0,1,5,5,7,7,2,5,20023
nordsjo92,Joakim.Nordstrom,C,1,0,0,0,0,0,0,1,-4,-1,0,2,2,3,1,1,0,0,1,1,0,0,6.2,19.4,58.1,77.5,19.4,29.1,48.5,19.4,29.1,0,1,0,1,2,3,0,0,2,3,2,6,0,4,20023
sheahri91,Riley.Sheahan,C,0,0,0,0,0,2,3,3,-4,-4,0,9,6,3,6,0,2,6,1,0,0,0,10.3,52.2,75.4,127.5,34.8,58,92.8,23.2,34.8,0,0,2,1,4,6,0,0,6,10,9,13,6,2,20023
pulkkte92,Teemu.Pulkkinen,LR,0,2,0,0,2,2,3,4,-4,-4,2,7,5,4,5,0,0,0,0,5,1,0,10.7,39.4,62,101.4,28.2,50.7,78.9,16.9,33.8,0,0,1,1,3,6,2,0,5,9,7,11,6,5,20023
franzjo79,Johan.Franzen,RL,0,0,0,0,0,1,1,2,-4,-3,0,10,7,3,6,0,0,0,1,0,1,0,10.8,55.4,77.5,132.9,38.8,55.4,94.2,22.2,33.2,1,0,0,1,4,6,0,0,7,10,10,14,6,4,20023
quincky85,Kyle.Quincey,D,0,0,0,0,0,0,0,1,-5,-7,2,12,8,3,5,0,0,0,2,0,0,0,13.3,54.1,76.7,130.8,36.1,67.7,103.8,36.1,36.1,0,0,0,1,8,8,3,1,8,15,12,17,7,8,20023
tatarto90,Tomas.Tatar,LR,0,0,1,0,1,0,1,2,-6,-6,1,8,6,4,2,0,0,0,0,1,0,0,11.4,42.2,73.8,116,31.6,63.3,94.9,15.8,52.7,1,0,1,0,3,10,2,1,6,12,8,14,6,8,20023
richabr80,Brad.Richards,C,0,0,0,0,0,1,1,1,-6,-7,-1,11,7,3,3,0,1,6,0,0,0,0,12.1,54.6,84.4,138.9,34.7,69.5,104.2,19.8,54.6,0,0,1,0,4,11,0,1,7,14,11,17,7,8,20023
nyquigu89,Gustav.Nyquist,LR,0,0,0,1,1,0,0,1,-7,-8,0,8,5,3,3,0,0,0,2,0,0,0,13.3,36,67.5,103.4,22.5,58.5,80.9,13.5,49.5,0,0,1,0,3,11,1,1,5,13,8,15,3,8,20023
larkidy96,Dylan.Larkin,C,0,0,1,0,1,1,2,6,-7,-6,3,13,11,4,2,0,2,0,2,3,0,0,13.3,58.5,89.9,148.4,49.5,76.5,125.9,40.5,36,2,0,0,4,9,8,3,0,11,17,13,20,7,10,20023
ferrala91,Landon.Ferraro,RC,0,0,0,0,0,0,0,2,-7,-6,-1,4,3,0,3,0,0,0,3,0,0,0,9.5,25.2,69.3,94.5,18.9,56.7,75.6,18.9,31.5,0,0,0,2,3,5,0,1,3,9,4,11,2,4,20023
kindlja87,Jakub.Kindl,D,0,0,0,0,0,0,1,1,-8,-6,0,12,9,3,4,1,0,0,2,1,0,0,17.4,41.3,68.8,110,30.9,51.6,82.5,20.6,30.9,0,1,0,1,6,9,0,0,9,15,12,20,7,7,20023
abdelju87,Justin.Abdelkader,RL,0,1,0,1,2,0,1,2,-8,-9,2,13,9,3,3,0,0,0,5,2,0,0,15.6,50,80.7,130.7,34.6,69.2,103.8,34.6,42.3,0,0,0,1,9,11,2,0,9,18,13,21,5,13,20023
smithbr89,Brendan.Smith,D,0,0,0,0,0,0,1,3,-9,-8,0,13,9,3,4,2,0,0,4,2,0,0,17.2,45.4,76.9,122.3,31.4,59.4,90.8,21,24.5,2,2,0,1,6,7,0,0,9,17,13,22,7,7,20023
milledr84,Drew.Miller,LR,0,0,0,0,0,0,0,0,-9,-9,-1,4,3,0,3,1,0,0,3,1,0,0,10.4,23.2,75.3,98.5,17.4,69.5,86.9,17.4,40.5,0,1,0,0,3,7,0,1,3,12,4,13,2,5,20023
glendlu89,Luke.Glendening,C,0,0,0,0,0,0,2,2,-9,-9,-1,4,3,0,3,0,7,2,4,1,0,0,10.8,22.3,72.6,94.9,16.7,67,83.7,16.7,39.1,1,0,0,1,3,7,0,1,3,12,4,13,2,5,20023
greenmi85,Mike.Green,D,0,0,0,0,0,0,2,2,-10,-12,2,13,8,3,5,2,0,0,3,0,0,0,15.2,51.4,91,142.4,31.6,79.1,110.8,31.6,39.6,2,2,0,0,8,10,3,1,8,20,13,23,7,11,20023
kronwni81,Niklas.Kronwall,D,0,0,0,0,0,0,0,1,-11,-11,0,10,8,4,5,1,0,0,2,2,0,0,17.2,35,73.4,108.3,28,66.4,94.4,17.5,55.9,1,1,0,0,5,16,1,1,8,19,10,21,5,11,20023
zettehe80,Henrik.Zetterberg,CL,0,1,1,0,2,1,1,2,-13,-13,2,14,10,3,3,1,10,6,1,0,0,0,17.1,49,94.5,143.5,35,80.5,115.5,31.5,38.5,0,1,0,1,9,11,2,0,10,23,14,27,5,12,20023
ericsjo84,Jonathan.Ericsson,D,0,0,0,0,0,0,0,0,-13,-12,0,10,8,4,5,2,0,0,0,0,0,0,16.7,36,82.8,118.9,28.8,72,100.9,18,57.6,0,2,0,0,5,16,1,1,8,20,10,23,5,12,20023
mrazepe92,Petr.Mrazek,G,0,0,0,0,0,0,0,0,-28,-28,2,35,25,10,14,0,0,0,0,0,0,0,48.5,43.3,78,121.3,31,65.6,96.6,23.5,40.9,0,0,0,0,19,33,4,2,25,53,35,63,19,28,20023
crawfco84,Corey.Crawford,G,1,0,0,0,0,0,0,0,22,9,-1,47,29,10,2,0,0,0,0,0,0,0,46.7,60.4,32.1,92.6,37.3,25.7,63,27,23.1,0,0,0,0,21,18,1,2,29,20,47,25,18,16,20238
hjalmni87,Niklas.Hjalmarsson,D,1,0,0,0,0,1,1,5,18,12,-1,23,15,2,0,1,0,0,1,4,0,0,18.5,74.5,16.2,90.6,48.6,9.7,58.3,38.8,9.7,1,1,1,3,12,3,0,1,15,3,23,5,7,4,20238
vanritr91,Trevor.van.Riemsdyk,D,1,0,0,0,0,0,0,2,17,11,-1,23,15,2,0,2,0,0,0,5,0,0,18.6,74.1,19.3,93.5,48.3,12.9,61.2,38.7,12.9,1,2,0,1,12,4,0,1,15,4,23,6,7,5,20238
shawxan91,Andrew.Shaw,CR,1,0,0,0,0,2,2,7,11,5,-1,16,9,3,0,0,0,0,5,2,0,0,11.8,81.1,25.4,106.5,45.6,20.3,65.9,35.5,15.2,4,0,1,2,7,3,0,1,9,4,16,5,4,4,20238
panarar91,Artemi.Panarin,F,1,1,0,0,1,0,3,5,10,6,1,16,10,4,0,0,0,0,0,3,0,0,16.5,58.1,21.8,79.8,36.3,14.5,50.8,29,14.5,2,0,0,2,8,4,1,0,10,4,16,6,8,2,20238
hossama79,Marian.Hossa,R,1,0,0,0,0,1,2,4,10,4,-1,15,8,3,0,0,0,0,0,3,1,1,12.3,73.2,24.4,97.6,39,19.5,58.5,34.1,14.6,1,0,0,3,7,3,0,1,8,4,15,5,3,4,20238
toewsjo88,Jonathan.Toews,C,1,0,0,0,0,0,0,1,9,4,-1,18,10,3,0,0,6,1,2,2,0,1,15,72,36,108,40,24,64,32,20,1,0,0,0,8,5,0,1,10,6,18,9,5,7,20238
kanexpa88,Patrick.Kane,R,1,0,0,1,1,1,3,5,9,5,1,18,12,4,1,1,0,1,0,1,2,0,18.1,59.6,29.8,89.5,39.8,23.2,63,29.8,23.2,1,1,1,3,9,7,1,0,12,7,18,9,9,4,20238
keroxta92,Tanner.Kero,,1,0,0,0,0,1,1,1,7,4,1,12,9,3,1,0,1,3,2,4,0,0,10.9,66,27.5,93.5,49.5,27.5,77,33,22,0,0,0,1,6,4,1,0,9,5,12,5,5,2,20238
gustaer92,Erik.Gustafsson,D,1,0,1,0,1,0,0,4,7,4,1,14,9,3,2,0,0,0,1,3,0,1,12.6,66.8,33.4,100.1,42.9,23.8,66.8,33.4,19.1,1,0,2,1,7,4,1,0,9,5,14,7,7,4,20238
danoxma94,Marko.Dano,C,1,0,0,0,0,1,1,1,7,6,0,12,9,3,1,1,0,0,4,2,0,0,11.6,62.2,25.9,88.1,46.6,15.5,62.2,25.9,10.4,1,1,0,0,5,2,0,0,9,3,12,5,6,3,20238
daleytr83,Trevor.Daley,D,1,0,0,0,0,0,0,1,7,4,1,14,9,3,2,0,0,1,0,0,0,0,12.8,65.5,32.7,98.2,42.1,23.4,65.5,32.7,18.7,0,0,0,1,7,4,1,0,9,5,14,7,7,4,20238
anisiar88,Artem.Anisimov,C,1,0,0,0,0,1,2,3,6,3,0,12,8,4,1,0,4,9,3,2,0,0,15.7,45.8,22.9,68.7,30.5,19.1,49.6,22.9,19.1,1,0,1,1,6,5,0,0,8,5,12,6,6,3,20238
